"Effsize","10","20","30","40","50","60","70","80","90","100","110","120","130","140","150","160","170","180","190","200"
0,0.01825,0.023,0.027,0.0265,0.03125,0.0375,0.0315,0.033,0.03825,0.04275,0.0365,0.04175,0.0375,0.0345,0.032,0.03825,0.03975,0.0415,0.03675,0.04275
0.1,0.0595,0.09325,0.13525,0.174,0.20375,0.25275,0.284,0.3115,0.35775,0.3885,0.4005,0.4435,0.46575,0.4975,0.51175,0.5515,0.578,0.588,0.62425,0.65225
0.2,0.12225,0.2425,0.36325,0.47975,0.578,0.67875,0.746,0.8025,0.8405,0.88175,0.9025,0.93475,0.94075,0.959,0.9635,0.97175,0.98,0.9835,0.9915,0.99125
0.3,0.267,0.48875,0.6805,0.8125,0.89725,0.94625,0.969,0.98625,0.99275,0.99675,0.99775,0.9985,0.999,0.99975,0.99975,1,1,1,0.99975,1
0.4,0.4295,0.765,0.9165,0.976,0.9925,0.99725,0.9995,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,0.641333333333333,0.925,0.986333333333333,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,0.81,0.981,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7,0.948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
